🎬影院轮播,#genre#
CCTV6-电影,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225965/01.m3u8?fmt=ts2hls

CCTV7-军农,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225897/01.m3u8?fmt=ts2hls

CCTV8-电视剧,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225966/01.m3u8?fmt=ts2hls

CCTV8-电视剧,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225661/01.m3u8?fmt=ts2hls

CCTV9-记录,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8

CCTV10-科教,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225917/01.m3u8?fmt=ts2hls

CCTV11-戏曲,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225867/01.m3u8?fmt=ts2hls

CCTV12-社会与法,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225915/01.m3u8?fmt=ts2hls

CCTV13-新闻,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225957/01.m3u8?fmt=ts2hls

CCTV13-新闻,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225666/01.m3u8?fmt=ts2hls

CCTV14-少儿,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225916/01.m3u8?fmt=ts2hls

CCTV15-音乐,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225866/01.m3u8?fmt=ts2hls

CCTV5-体育,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225658/01.m3u8?fmt=ts2hls

CCTV6-电影,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225660/01.m3u8?fmt=ts2hls

CCTV13-新闻,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225666/01.m3u8?fmt=ts2hls

CCTV1-综合,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225675/01.m3u8?fmt=ts2hls

CCTV8-电视剧,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225661/01.m3u8?fmt=ts2hls

CCTV5+-体育,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225663/01.m3u8?fmt=ts2hls

CCTV15-音乐,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225866/01.m3u8?fmt=ts2hls

CCTV11-戏曲,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225867/01.m3u8?fmt=ts2hls

CCTV7-军农,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225897/01.m3u8?fmt=ts2hls

CCTV4-国际,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225898/01.m3u8?fmt=ts2hls

CCTV12-社会与法,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225915/01.m3u8?fmt=ts2hls

CCTV14-少儿,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225916/01.m3u8?fmt=ts2hls

CCTV10-科教,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225917/01.m3u8?fmt=ts2hls

CCTV2-财经,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/01.m3u8?fmt=ts2hls

CCTV1-综合,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls

CCTV3-综艺,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225963/01.m3u8?fmt=ts2hls

CCTV5-体育,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225964/01.m3u8?fmt=ts2hls

CCTV8-电视剧,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225966/01.m3u8?fmt=ts2hls

CCTV8-电视剧,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225661/01.m3u8?fmt=ts2hls

CCTV5+-体育,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225663/01.m3u8?fmt=ts2hls

CCTV15-音乐,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225866/01.m3u8?fmt=ts2hls

CCTV11-戏曲,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225867/01.m3u8?fmt=ts2hls

CCTV7-军农,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225897/01.m3u8?fmt=ts2hls

CCTV4-国际,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225898/01.m3u8?fmt=ts2hls

CCTV12-社会与法,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225915/01.m3u8?fmt=ts2hls

CCTV14-少儿,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225916/01.m3u8?fmt=ts2hls

CCTV10-科教,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225917/01.m3u8?fmt=ts2hls

CCTV2-财经,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/01.m3u8?fmt=ts2hls

CCTV1-综合,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls

CCTV13-新闻,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225957/01.m3u8?fmt=ts2hls

CCTV3-综艺,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225963/01.m3u8?fmt=ts2hls

CCTV5-体育,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225964/01.m3u8?fmt=ts2hls

